seed,model,noise_p,balanced_accuracy,ece,brier
11,TaskOnly_QML,0.0,0.9531980140186915,0.036838415725544776,0.03491265236153379
11,TaskOnly_QML,0.02,0.9531980140186915,0.03683331013702214,0.034894923101244084
11,TaskOnly_QML,0.05,0.9531980140186915,0.03331821249392283,0.034868388719130367
11,TaskOnly_QML,0.08,0.9531980140186915,0.033313225324957486,0.03484192556714335
11,TaskOnly_QML,0.12,0.9531980140186915,0.033306605300226534,0.03480675181920478
11,Decoherence_DQ,0.0,0.9531980140186915,0.020546089509831313,0.03486665998904187
11,Decoherence_DQ,0.02,0.9531980140186915,0.020541730942363428,0.03483318935989125
11,Decoherence_DQ,0.05,0.9531980140186915,0.020535225100204658,0.034783157231380576
11,Decoherence_DQ,0.08,0.9531980140186915,0.02052875762565538,0.03473333278492666
11,Decoherence_DQ,0.12,0.9531980140186915,0.020520193946822467,0.03466722152424783
11,Full_UVIF_Q,0.0,0.9531980140186915,0.022138361970571643,0.03513799874225358
11,Full_UVIF_Q,0.02,0.9531980140186915,0.022137481078693854,0.035063590323508795
11,Full_UVIF_Q,0.05,0.9531980140186915,0.022136974589915252,0.034951897137949994
11,Full_UVIF_Q,0.08,0.9531980140186915,0.022137460905509377,0.03484011498471878
11,Full_UVIF_Q,0.12,0.9531980140186915,0.0197925160480234,0.03469094957013149
22,TaskOnly_QML,0.0,0.9563376168224299,0.022098639451148084,0.03482385358288282
22,TaskOnly_QML,0.02,0.9563376168224299,0.022241491321026017,0.03476162305706017
22,TaskOnly_QML,0.05,0.9516647196261683,0.02900543430624441,0.034673051495621866
22,TaskOnly_QML,0.08,0.9516647196261683,0.031390077986064656,0.03459012875113227
22,TaskOnly_QML,0.12,0.9594772196261683,0.026939249294208566,0.03448818920459464
22,Decoherence_DQ,0.0,0.9563376168224299,0.025375382907000615,0.035104334219328015
22,Decoherence_DQ,0.02,0.9563376168224299,0.02428217551832452,0.03502165135577759
22,Decoherence_DQ,0.05,0.9563376168224299,0.024389206812498662,0.03490495401888967
22,Decoherence_DQ,0.08,0.9563376168224299,0.024498898755210427,0.03479690634621174
22,Decoherence_DQ,0.12,0.9516647196261683,0.029093285631522588,0.0346660025063842
22,Full_UVIF_Q,0.0,0.9594772196261683,0.023578105805504623,0.0368081088646533
22,Full_UVIF_Q,0.02,0.9594772196261683,0.023774876180652812,0.03679337475168262
22,Full_UVIF_Q,0.05,0.9594772196261683,0.02405658318355071,0.03677765858127183
22,Full_UVIF_Q,0.08,0.9594772196261683,0.024322117158341205,0.036768845834534894
22,Full_UVIF_Q,0.12,0.9594772196261683,0.024650944129096988,0.03676638092692292
33,TaskOnly_QML,0.0,0.9204147196261683,0.02798156691505649,0.045668609058230725
33,TaskOnly_QML,0.02,0.9204147196261683,0.028049613598625272,0.045621114780190805
33,TaskOnly_QML,0.05,0.9204147196261683,0.025740352069151824,0.04555321235772815
33,TaskOnly_QML,0.08,0.9282272196261683,0.017357571422710102,0.045489310737764126
33,TaskOnly_QML,0.12,0.9282272196261683,0.017540170261624764,0.04541031614461144
33,Decoherence_DQ,0.0,0.9329001168224299,0.024594502189986066,0.04616476227861927
33,Decoherence_DQ,0.02,0.9329001168224299,0.02465366596065906,0.046182035885084266
33,Decoherence_DQ,0.05,0.9329001168224299,0.024739949894804013,0.046208621788236974
33,Decoherence_DQ,0.08,0.9329001168224299,0.024823250951791973,0.046236005507857246
33,Decoherence_DQ,0.12,0.9329001168224299,0.024929622989514642,0.04627373418961262
33,Full_UVIF_Q,0.0,0.9329001168224299,0.05484206061072597,0.052102914715357135
33,Full_UVIF_Q,0.02,0.9329001168224299,0.05486872821763321,0.052143668841104246
33,Full_UVIF_Q,0.05,0.9329001168224299,0.05490432693647006,0.052205580870010086
33,Full_UVIF_Q,0.08,0.9329001168224299,0.05493474353379178,0.05226836728218015
33,Full_UVIF_Q,0.12,0.9329001168224299,0.05496742745315533,0.05235331067480047
